charges
1470080,931
154026,1607
397923,2576
2116834,04
364826,5556
425787,3249
692703,4482
796155,2496
765370,3784
2716617,047
268736,9449
2535622,076
167863,9404
973519,5921
4583139,753
179681,6313
969663,3308
269460,0429
925427,9818
3104516,398
1398902,238
495667,9158
131041,0526
4448482,486
734949,4172
1389831,302
1623514,205
1167954,954
312722,7649
3510327,732
2924920,87
206890,8923
424101,885
1601456,164
5679327,84
140183,7918
1387624,019
221980,6803
3889961,539
4852014,842
285201,9007
535899,738
554493,3975
700693,9192
533686,3465
1775378,71
365354,8324
410215,4245
1497804,707
4337645,981
201075,7246
425673,6765
2301147,036
3942210,138
861467,9608
4226314,725
1181280,977
3709540,665
1987335,468
559053,1304
965520,7478
440729,9142
3425642,127
383411,7043
1502289,467
147312,9353
1529667,881
753355,7648
514784,3159
1589686,692
1572211,521
747335,8856
943425,6832
1047902,808
691684,0346
1105390,904
362474,7074
181288,2202
247296,8579
747068,0449
446538,4589
859662,344
3937056,803
1249319,511
4095672,761
2375370,172
4802264,977
1262343,426
772819,3197
1183115,613
173465,3656
1036766,762
2891054,26
521545,2157
4324474,517
391627,8042
1350525,361
952893,1387
2680618,968
1640660,41
716707,1333
299866,9699
2422266,364
2723099,793
599035,4557
1837955,116
252511,2957
373890,6674
294337,8234
4341173,424
1211784,756
982587,2752
408590,1484
269148,5481
1211723,527
2591961,147
1102656,032
1792759,362
825044,9809
634205,0026
709097,1053
148296,4794
255749,3606
3714522,247
816579,1375
340739,3463
1671175,063
912221,5131
3774184,176
652157,3161
1115259,764
1625058,345
1135715,669
177292,6707
277371,0471
248288,3729
142241,173
242666,4027
2902735,678
229815,8493
2583288,956
365307,4714
1972184,187
1536631,151
1830829,622
544401,348
3379525,41
966432,0107
1052106,319
160985,9955
444270,4273
821086,6697
540849,565
1917635,053
823182,1755
793606,6526
2222595,242
1703458,416
4339708,706
2215150,807
2471249,39
3158009,953
998471,9904
608806,7574
488340,7104
835751,0202
464140,216
710351,4965
262248,1713
494523,5023
1559219,256
700383,3854
145475,2617
484287,4281
284044,072
5062987,524
633809,7206
1041453,726
854872,7308
792428,848
1184716,169
146878,9483
391922,4068
595096,9038
880244,8836
4397396,912
367848,1278
458803,502
656925,8144
420437,4411
1274574,11
438177,5255
175324,6237
1238645,822
120733,6187
192832,6218
538209,1214
838071,5792
946386,0738
1631088,751
242947,7157
715147,3227
1555393,057
3272752,839
702705,3662
496830,98
963278,2051
1893481,575
1272025,18
668637,3709
180339,815
864932,3347
322459,7296
484147,2608
860988,7827
816613,5294
1066034,943
270681,1081
378826,8679
2829487,75
469094,3291
867800,7215
572867,1683
4108278,883
2310070,945
967949,6342
225720,1066
2831768,898
803158,619
979046,468
644763,1608
1496003,237
175151,2354
1462698,975
541715,952
1850563,835
145895,8901
379953,6775
1880378,933
656420,8739
4614215,268
534723,668
3154920,442
819950,4739
3408730,311
2781516,073
1139353,438
225652,4383
185523,7597
480137,2936
1209646,07
4915069,587
4949991,148
381939,0962
3495601,496
1062964,144
4034531,165
502979,8056
1215717,211
2762309,964
1261421,845
1726582,624
2740102,211
4147592,289
2133651,162
4957864,312
1667466,93
1337249,959
721581,2134
1047662,338
158531,5382
4685466,867
806693,4698
920925,3772
283405,6586
951125,6569
225460,6838
249966,5763
1150806,332
968022,8327
2036215,367
5157954,358
405906,6999
1309468,958
1133481,37
742949,4402
872351,7329
1419930,586
5625888,793
2155175,027
376440,5185
2023847,553
4306703,166
186063,3954
332440,8927
162735,2724
1450566,753
2112402,19
3498086,12
896946,8866
549993,8769
2982177,732
1150031,558
496687,4196
1335185,677
2296739,076
1667042,379
428558,5846
1268093,68
872833,7029
895152,3477
194596,3491
4508310,218
669044,4447
2934243,847
840391,0409
784270,7765
1058969,978
605023,5276
458578,0233
554035,1056
2799661,749
4192508,564
1382195,472
239416,2289
646365,4323
384413,2016
4019035,382
4216417,007
960433,051
5728358,052
2260839,57
1218241,127
1210496,049
1779221,293
1191113,482
1142980,617
1307123,209
3607459,003
909370,051
1628522,832
1105561,361
1107682,041
1540642,985
1123828,319
592572,5852
427423,663
925346,699
508482,1877
138712,6616
1350493,984
1046600,631
341610,4393
1369149,163
1255775,975
2001611,953
1033292,592
1131165,568
220164,6398
176084,4053
970465,5092
477350,7704
1406852,752
280167,9556
319622,5913
1035540,84
1571749,188
942341,7313
880161,6867
297875,4927
1159101,062
1380682,534
791928,1223
4175277,687
124210,5394
1614576,134
2044361,034
4410312,825
1724452,343
2757813,874
1761098,47
4672210,576
2345701,923
524438,0291
697440,5318
141828,8262
1060759,577
3299159,37
330695,9321
465580,55
1236370,775
210961,3496
888048,4167
916909,1804
770292,1398
690458,2285
944081,9047
1418242,504
1661929,421
146416,665
749895,239
806211,6856
1553651,448
924348,5095
388956,9409
1093368,846
384015,346
799536,6274
728709,9745
448251,7705
167167,9778
1825743,281
1680613,165
521665,7593
200469,9311
867178,8114
830993,7799
1921967,281
1502306,816
3355756,153
3857737,325
5431672,654
3277855,008
247523,4938
847361,6329
1121350,325
582130,0751
704773,6227
293573,0187
